,url,title,time,views,tags,hub,bookmarks,comments,title_lemma,tags_lemma,lemma_hub,year,month,day
184,https://habr.com/ru/articles/435746/,"['динамическая', 'генерация', 'dag', 'в', 'airflow']",2019-01-17 07:00:02+00:00,13000,"['ростелеком', 'apache airflow', 'управление данными в ростелеком', 'блог компании ростелеком', 'apache', 'open source', 'системное администрирование', 'хранение данных']","['блог компании ростелеком', 'apache', 'open source', 'системное администрирование', 'хранение данных']",30,4,"['динамический', 'генерация', 'dag', 'airflow']","['ростелеком', 'apache', 'airflow', 'управление', 'данными', 'ростелеком', 'блог', 'компания', 'ростелеком', 'apache', 'open', 'source', 'системный', 'администрирование', 'хранение', 'данных']","['блог', 'компания', 'ростелеком', 'apache', 'open', 'source', 'системный', 'администрирование', 'хранение', 'данных']",2019,1,17
185,https://habr.com/ru/articles/437446/,"['apache', 'kafka', 'и', 'rabbitmq', 'семантика', 'и', 'гарантия', 'доставки', 'сообщений']",2019-01-25 06:00:48+00:00,76000,"['itsumma', 'kafka', 'rabbitmq', 'очередь сообщений', 'блог компании itsumma', 'apache', 'big data', 'высокая производительность', 'мессенджеры']","['блог компании itsumma', 'apache', 'big data', 'высокая производительность', 'мессенджеры']",273,2,"['apache', 'kafka', 'rabbitmq', 'семантика', 'гарантия', 'доставка', 'сообщение']","['itsumma', 'kafka', 'rabbitmq', 'очередь', 'сообщение', 'блог', 'компания', 'itsumma', 'apache', 'big', 'data', 'высокий', 'производительность', 'мессенджеры']","['блог', 'компания', 'itsumma', 'apache', 'big', 'data', 'высокий', 'производительность', 'мессенджеры']",2019,1,25
186,https://habr.com/ru/articles/438046/,"['как', 'геокодировать', 'миллион', 'точек', 'на', 'spark', 'по', 'быстрому']",2019-02-09 07:30:51+00:00,54000,"['spark', 'геокодирование', 'esri', 'gis', 'hive', 'big data', 'hadoop', 'программирование']","['big data', 'hadoop', 'программирование']",48,23,"['геокодировать', 'миллион', 'точка', 'spark', 'быстрый']","['spark', 'геокодирование', 'esri', 'gis', 'hive', 'big', 'data', 'hadoop', 'программирование']","['big', 'data', 'hadoop', 'программирование']",2019,2,9
187,https://habr.com/ru/articles/438374/,"['как', 'загрузить', 'openstreetmap', 'в', 'hive']",2019-02-19 17:24:33+00:00,37000,"['java', 'spark', 'hive', 'hadoop', 'gis', 'osm', 'big data', 'hadoop', 'openstreetmap', 'геоинформационные сервисы', 'программирование']","['big data', 'hadoop', 'openstreetmap', 'геоинформационные сервисы', 'программирование']",37,18,"['загрузить', 'openstreetmap', 'hive']","['java', 'spark', 'hive', 'hadoop', 'gis', 'osm', 'big', 'data', 'hadoop', 'openstreetmap', 'геоинформационный', 'сервис', 'программирование']","['big', 'data', 'hadoop', 'openstreetmap', 'геоинформационный', 'сервис', 'программирование']",2019,2,19
188,https://habr.com/ru/articles/440208/,"['исследуем', 'пределы', 'пропускной', 'способности', 'kafka', 'в', 'инфраструктуре', 'dropbox']",2019-02-14 08:01:02+00:00,83000,"['itsumma', 'apache kafka', 'kafka', 'тестирование', 'инфраструктура', 'производительность', 'облачные сервисы', 'облачные технологии', 'dropbox', 'потоки', 'потоковые данные', 'брокер сообщений', 'open source', 'блог компании itsumma', 'apache', 'высокая производительность', 'облачные сервисы', 'тестирование веб-сервисов']","['блог компании itsumma', 'apache', 'высокая производительность', 'облачные сервисы', 'тестирование вебсервисов']",43,4,"['исследовать', 'предел', 'пропускной', 'способность', 'kafka', 'инфраструктура', 'dropbox']","['itsumma', 'apache', 'kafka', 'kafka', 'тестирование', 'инфраструктура', 'производительность', 'облачный', 'сервис', 'облачный', 'технология', 'dropbox', 'поток', 'потоковый', 'данные', 'брокер', 'сообщение', 'open', 'source', 'блог', 'компания', 'itsumma', 'apache', 'высокий', 'производительность', 'облачный', 'сервис', 'тестирование', 'веб', '-', 'сервисов']","['блог', 'компания', 'itsumma', 'apache', 'высокий', 'производительность', 'облачный', 'сервис', 'тестирование', 'вебсервисов']",2019,2,14
189,https://habr.com/ru/articles/440400/,"['apache', 'kafka', 'spring', 'boot', 'hello', 'microservices']",2019-02-19 04:11:28+00:00,130000,"['java', 'kafka', 'java', 'программирование']","['java', 'программирование']",240,3,"['apache', 'kafka', 'spring', 'boot', 'hello', 'microservices']","['java', 'kafka', 'java', 'программирование']","['java', 'программирование']",2019,2,19
190,https://habr.com/ru/articles/441684/,"['предсказания', 'облака', 'изменят', '2019', 'й']",2019-02-25 13:32:44+00:00,37000,"['cloud computing', 'machine learning', 'spark', 'future', '2019', 'блог компании cloud4y', 'saas / s+s', 'будущее здесь', 'исследования и прогнозы в it', 'облачные вычисления']","['блог компании cloud4y', 'saas  ss', 'будущее здесь', 'исследования и прогнозы в it', 'облачные вычисления']",11,62,"['предсказание', 'облако', 'изменить', '2019', 'й']","['cloud', 'computing', 'machine', 'learning', 'spark', 'future', '2019', 'блог', 'компания', 'cloud4y', 'saas', '/', 's+s', 'будущее', 'исследование', 'прогноз', 'it', 'облачный', 'вычисление']","['блог', 'компания', 'cloud4y', 'saas', ' ', 'ss', 'будущее', 'исследование', 'прогноз', 'it', 'облачный', 'вычисление']",2019,2,25
191,https://habr.com/ru/articles/442688/,"['анализ', 'данных', 'на', 'scala', 'суровая', 'необходимость', 'или', 'приятная', 'возможность']",2019-03-06 13:03:38+00:00,14000,"['machine learning', 'spark', 'scala', 'блог компании vk', 'блог компании ок', 'big data', 'data mining', 'машинное обучение']","['блог компании vk', 'блог компании ок', 'big data', 'data mining', 'машинное обучение']",95,17,"['анализ', 'данных', 'scala', 'суровый', 'необходимость', 'приятный', 'возможность']","['machine', 'learning', 'spark', 'scala', 'блог', 'компания', 'vk', 'блог', 'компания', 'ок', 'big', 'data', 'data', 'mining', 'машинный', 'обучение']","['блог', 'компания', 'vk', 'блог', 'компания', 'ок', 'big', 'data', 'data', 'mining', 'машинный', 'обучение']",2019,3,6
192,https://habr.com/ru/articles/442812/,"['не', 'вижу', 'ни', 'одного', 'резона', 'использовать', 'python', 'для', 'работы', 'со', 'spark', 'кроме', 'лени']",2019-03-06 12:48:57+00:00,99000,"['scala', 'big data', 'spark', 'python', 'java', 'production', 'машинное обучение', 'блог компании new professions lab', 'big data', 'python', 'scala', 'машинное обучение']","['блог компании new professions lab', 'big data', 'python', 'scala', 'машинное обучение']",29,16,"['видеть', 'резон', 'использовать', 'python', 'работа', 'spark', 'лень']","['scala', 'big', 'data', 'spark', 'python', 'java', 'production', 'машинный', 'обучение', 'блог', 'компания', 'new', 'professions', 'lab', 'big', 'data', 'python', 'scala', 'машинный', 'обучение']","['блог', 'компания', 'new', 'professions', 'lab', 'big', 'data', 'python', 'scala', 'машинный', 'обучение']",2019,3,6
193,https://habr.com/ru/articles/442876/,"['картографирование', 'шума', 'с', 'помощью', 'ksql', 'raspberry', 'pi', 'и', 'радиоприёмника']",2019-03-07 04:10:11+00:00,9000,"['itsumma', 'перевод', 'apache', 'apache kafka', 'kafka', 'raspberry pi', 'ksql', 'анализ', 'алгоритмы', 'исследования', 'авиация', 'самолёты', 'котики', 'блог компании itsumma', 'apache', 'алгоритмы', 'геоинформационные сервисы', 'разработка на raspberry pi']","['блог компании itsumma', 'apache', 'алгоритмы', 'геоинформационные сервисы', 'разработка на raspberry pi']",46,9,"['картографирование', 'шум', 'помощь', 'ksql', 'raspberry', 'pi', 'радиоприёмник']","['itsumma', 'перевод', 'apache', 'apache', 'kafka', 'kafka', 'raspberry', 'pi', 'ksql', 'анализ', 'алгоритм', 'исследование', 'авиация', 'самолёт', 'котик', 'блог', 'компания', 'itsumma', 'apache', 'алгоритм', 'геоинформационный', 'сервис', 'разработка', 'raspberry', 'pi']","['блог', 'компания', 'itsumma', 'apache', 'алгоритм', 'геоинформационный', 'сервис', 'разработка', 'raspberry', 'pi']",2019,3,7
